Predictions: (Task 2, Task 6, Task 10, Task 12, Task 13)

No         Predictions     Hop latency [us]     Accuracy [%]        
45         (2 6 2 5 2)     39.783               81.739              
46         (3 5 2 1 2)     37.991               81.277              
47         (3 5 1 1 2)     42.711               81.250              
48         (3 5 2 1 2)     48.129               81.633              
49         (3 5 2 1 2)     38.038               82.000              
50         (3 3 2 1 2)     44.134               82.353              
51         (3 5 2 1 1)     40.559               82.308              
52         (5 1 2 1 2)     44.184               82.264              
53         (2 3 2 1 2)     41.439               81.852              
54         (3 5 2 1 2)     42.455               82.182              
55         (3 1 2 1 2)     41.924               82.143              
56         (3 3 2 1 2)     42.232               82.456              
57         (2 3 2 1 2)     44.370               82.414              
58         (3 1 2 1 2)     41.637               82.373              
59         (3 3 2 4 2)     39.517               82.333              
60         (3 5 2 1 2)     38.226               82.623              
61         (3 6 2 1 1)     38.247               82.903              
62         (2 1 2 0 3)     40.870               82.222              
63         (3 5 2 0 2)     44.913               82.188              
64         (3 5 2 0 2)     38.545               82.154              
65         (6 3 2 0 3)     39.741               81.515              
66         (3 1 1 1 2)     38.226               81.493              
67         (2 5 1 1 2)     41.808               81.471              
68         (2 5 2 1 1)     40.530               81.739              
69         (3 1 2 1 2)     42.260               81.714              
70         (2 5 2 1 2)     39.853               81.690              
71         (2 5 2 5 2)     38.009               81.389              
72         (3 5 2 1 2)     37.991               81.370              
73         (3 7 2 5 2)     46.019               81.081              
74         (3 3 2 5 2)     37.919               81.067              
75         (3 3 2 3 2)     44.646               81.053              
76         (2 1 2 5 2)     43.109               80.519              
77         (3 1 2 1 2)     38.983               80.769              
78         (3 5 1 1 2)     38.226               80.759              
79         (0 5 2 5 2)     39.035               80.750              
80         (3 3 2 1 2)     45.303               80.741              
81         (2 3 2 1 2)     44.093               80.976              
82         (5 1 2 1 2)     44.089               80.964              
83         (2 3 2 1 2)     44.219               80.952              
84         (2 5 1 1 2)     41.777               80.941              
85         (3 5 2 1 2)     44.201               80.930              
86         (2 3 2 1 2)     38.062               80.920              
87         (2 5 1 1 2)     38.059               80.682              
88         (2 1 1 2 2)     43.559               80.000              
89         (0 5 1 1 2)     41.081               80.222              
90         (2 5 1 1 2)     43.261               80.220              
91         (3 5 2 1 2)     43.731               80.435              
92         (3 1 2 3 2)     40.947               80.215              
93         (3 3 2 0 2)     44.603               80.213              
94         (3 5 2 1 2)     44.930               80.421              
95         (0 3 2 5 1)     37.957               80.417              
96         (3 3 2 1 2)     38.266               80.412              
97         (2 5 1 0 2)     43.989               80.000              
98         (3 5 2 1 2)     43.281               80.202              
99         (3 3 2 1 2)     42.332               80.200              
100        (3 3 2 1 2)     42.934               80.000              
101        (3 1 2 1 2)     39.235               80.000              
102        (3 6 2 1 2)     38.888               79.806              
103        (2 3 2 5 2)     39.291               79.808              
104        (3 4 2 1 2)     45.323               79.810              
105        (3 5 1 1 2)     48.917               79.811              
106        (3 3 2 1 2)     43.295               80.000              
107        (2 5 2 1 2)     45.825               79.630              
108        (3 6 2 1 2)     39.358               79.633              
109        (3 5 2 5 2)     43.120               79.455              
110        (3 5 2 1 1)     43.379               79.640              
111        (3 3 2 3 2)     38.896               79.643              
112        (3 5 2 1 1)     38.763               79.823              
113        (2 3 2 1 2)     39.202               79.825              
114        (3 6 1 5 1)     38.823               79.826              
115        (2 3 2 1 2)     39.081               79.828              
116        (3 5 2 0 2)     39.163               79.829              
117        (3 5 1 1 2)     51.385               80.000              
118        (3 3 2 5 2)     40.663               79.832              
119        (2 5 1 1 2)     44.245               79.667              
120        (3 1 2 0 2)     45.669               79.504              
121        (3 5 2 5 2)     43.145               79.344              
122        (3 3 2 1 2)     44.643               79.512              
123        (3 5 1 1 2)     44.387               79.677              
124        (6 6 2 5 2)     53.596               79.360              
125        (2 3 2 1 2)     38.585               79.365              
126        (2 5 1 1 2)     48.793               79.370              
127        (3 5 2 1 2)     52.067               79.219              
128        (2 5 2 1 1)     44.143               79.225              
129        (3 1 1 1 2)     43.412               79.385              
130        (2 1 2 0 2)     44.073               79.237              
131        (3 5 1 0 2)     43.732               79.091              
132        (3 3 2 1 2)     41.265               79.248              
133        (3 1 2 1 2)     43.773               79.403              
134        (3 1 2 5 2)     45.704               79.259              
135        (3 5 1 1 1)     41.901               79.412              
136        (3 5 2 1 2)     42.442               79.416              
137        (3 1 1 5 2)     40.633               79.130              
138        (3 1 2 1 2)     53.205               79.137              
139        (3 5 2 5 2)     42.411               79.000              
140        (2 3 2 5 2)     43.802               79.007              
141        (3 5 2 1 2)     49.003               79.014              
142        (2 3 2 1 2)     52.578               78.881              
143        (3 5 2 1 2)     42.072               79.028              
144        (3 3 2 0 2)     41.726               79.034              
145        (3 1 2 5 2)     41.803               78.904              
146        (2 6 1 1 2)     38.877               78.776              
147        (3 3 2 1 2)     45.902               78.784              
148        (3 3 2 1 2)     41.953               78.926              
149        (3 3 2 3 2)     44.146               78.800              
150        (3 1 1 5 2)     42.464               78.808              
151        (2 3 2 1 2)     44.808               78.947              
152        (3 3 2 1 2)     40.878               79.085              
153        (3 5 2 1 2)     38.657               79.221              
154        (3 3 2 1 2)     38.377               79.355              
155        (3 3 2 1 2)     44.747               79.487              
156        (3 5 2 1 2)     44.318               79.490              
157        (2 5 2 1 1)     51.403               79.494              
158        (3 3 2 1 2)     43.049               79.623              
159        (2 3 2 1 2)     42.648               79.625              
160        (0 3 2 1 2)     37.060               79.627              
161        (3 3 2 5 2)     43.730               79.630              
162        (3 5 2 1 2)     55.756               79.632              
163        (3 3 2 5 2)     37.063               79.634              
164        (2 5 2 5 2)     43.037               79.636              
165        (3 5 2 1 1)     36.998               79.759              
166        (3 1 1 1 2)     42.056               79.760              
167        (3 5 2 1 2)     36.613               79.881              
168        (2 5 1 3 2)     36.480               79.882              
169        (3 3 2 1 2)     37.101               80.000              
170        (3 4 2 3 2)     37.300               79.883              
171        (2 1 2 1 2)     44.130               79.884              
172        (3 1 2 5 2)     37.058               79.769              
173        (3 5 2 3 2)     42.793               79.770              
174        (3 5 2 1 2)     44.664               79.886              
175        (3 3 2 1 2)     44.378               80.000              
176        (3 5 1 5 2)     40.244               79.887              
177        (2 5 1 0 1)     38.657               79.775              
178        (3 5 1 1 2)     37.190               79.888              
179        (3 1 2 5 2)     43.068               79.778              
180        (3 5 1 1 2)     36.475               79.779              
181        (3 3 2 1 2)     44.657               79.780              
182        (3 5 2 0 2)     48.519               79.781              
183        (3 5 2 1 2)     42.640               79.783              
184        (3 5 1 5 2)     43.201               79.676              
185        (3 1 2 0 2)     43.251               79.677              
186        (3 1 2 5 2)     37.037               79.572              
187        (3 1 1 1 2)     43.356               79.681              
188        (2 1 1 1 2)     51.782               79.683              
189        (3 6 2 1 2)     47.183               79.789              
190        (3 3 2 1 2)     40.600               79.895              
191        (2 5 2 0 2)     43.364               79.896              
192        (3 5 2 1 2)     43.805               79.896              
193        (3 3 2 5 2)     42.413               79.794              
194        (6 3 2 1 3)     42.802               79.692              
195        (2 1 1 0 2)     39.561               79.490              
196        (2 5 1 0 1)     37.081               79.391              
197        (3 5 2 5 2)     39.626               79.293              
198        (2 3 2 1 2)     36.923               79.397              
199        (3 3 2 1 2)     42.945               79.500              
200        (3 5 2 1 2)     43.556               79.403              
201        (3 3 2 1 2)     41.325               79.406              
202        (5 3 2 1 2)     43.003               79.409              
203        (3 5 1 1 2)     39.573               79.510              
204        (3 5 2 0 2)     42.564               79.512              
205        (2 1 2 1 2)     36.441               79.417              
206        (3 3 2 0 2)     36.441               79.420              
207        (3 5 2 5 2)     42.771               79.327              
208        (3 1 2 1 2)     37.190               79.426              
209        (3 3 2 1 2)     41.040               79.429              
210        (3 1 1 3 2)     40.529               79.336              
211        (0 5 1 1 2)     44.502               79.434              
212        (3 3 2 1 2)     38.416               79.531              
213        (3 1 2 1 2)     41.276               79.533              
214        (3 1 2 1 2)     41.685               79.442              
215        (3 1 1 1 2)     46.183               79.537              
216        (3 3 2 1 2)     41.881               79.631              
217        (3 1 2 5 2)     38.295               79.541              
218        (3 1 1 1 2)     44.584               79.635              
219        (3 5 1 1 2)     36.962               79.636              
220        (3 5 1 1 2)     40.181               79.548              
221        (3 3 2 1 2)     42.219               79.640              
222        (3 5 1 1 2)     37.005               79.641              
223        (3 5 1 1 2)     53.938               79.643              
224        (3 5 2 5 2)     50.595               79.644              
225        (3 3 2 1 2)     43.968               79.735              
226        (2 1 2 5 1)     42.588               79.559              
227        (3 3 2 1 2)     37.753               79.649              
228        (3 3 2 1 2)     45.750               79.738              
229        (5 3 2 4 2)     42.470               79.739              
230        (2 1 2 5 2)     41.889               79.567              
231        (3 6 2 1 2)     42.761               79.569              
232        (3 1 2 1 2)     43.711               79.571              
233        (5 3 2 4 2)     44.129               79.487              
234        (3 5 1 1 2)     41.788               79.489              
235        (3 1 2 5 2)     41.256               79.492              
236        (3 1 1 0 2)     38.400               79.409              
237        (2 1 1 3 1)     38.461               79.244              
238        (3 5 2 1 2)     42.647               79.247              
239        (2 3 2 0 1)     43.744               79.167              
240        (3 5 2 1 1)     42.570               79.170              
241        (3 3 2 1 2)     44.683               79.256              
242        (3 5 2 1 2)     42.762               79.342              
243        (3 5 2 1 2)     43.303               79.426              
244        (3 5 1 1 2)     37.834               79.429              
245        (3 5 1 1 2)     44.379               79.512              
246        (2 5 2 0 2)     42.288               79.433              
247        (0 5 1 5 2)     38.409               79.355              
248        (2 0 1 5 2)     43.938               79.197              
249        (2 3 2 1 2)     42.174               79.200              
250        (2 5 1 1 2)     44.153               79.283              
251        (2 5 2 1 1)     42.045               79.286              
252        (6 3 2 1 2)     43.723               79.289              
253        (3 3 2 1 2)     45.200               79.370              
254        (3 3 2 1 2)     42.618               79.451              
255        (3 1 2 5 2)     40.242               79.375              
256        (3 5 1 1 2)     40.981               79.300              
257        (3 4 2 1 2)     51.733               79.302              
258        (3 3 2 1 2)     39.254               79.382              
259        (2 6 1 5 2)     42.388               79.385              
260        (2 1 1 5 2)     39.143               79.310              
261        (3 3 2 1 2)     38.891               79.389              
262        (2 1 1 3 2)     38.504               79.316              
263        (3 5 2 1 2)     40.643               79.318              
264        (2 5 1 5 1)     39.802               79.245              
265        (3 5 2 1 2)     42.680               79.323              
266        (3 1 2 5 2)     41.347               79.326              
267        (2 3 2 1 2)     40.140               79.328              
268        (3 5 1 1 2)     58.104               79.331              
269        (3 3 2 1 2)     41.381               79.407              
270        (3 5 1 1 2)     42.691               79.410              
271        (3 5 1 1 2)     38.276               79.412              
272        (2 3 2 1 2)     44.164               79.414              
273        (3 0 2 1 2)     38.541               79.416              
274        (3 5 2 1 2)     42.589               79.491              
275        (3 3 2 1 2)     38.604               79.420              
276        (3 5 2 5 1)     38.310               79.422              
277        (3 5 2 0 2)     39.559               79.424              
278        (3 1 2 1 2)     44.676               79.355              
279        (2 6 2 1 2)     44.050               79.357              
280        (3 5 2 5 2)     43.402               79.217              
281        (3 5 2 5 2)     43.085               79.149              
282        (2 1 2 5 2)     38.582               79.011              
283        (0 5 1 1 2)     45.053               79.085              
284        (3 3 2 1 2)     42.515               79.088              
285        (2 5 2 0 2)     44.585               79.021              
286        (3 5 2 3 2)     41.631               79.024              
287        (3 6 2 5 1)     42.105               78.958              
288        (3 3 2 1 2)     42.659               79.031              
289        (3 3 2 1 2)     38.892               79.034              
290        (3 5 2 0 2)     45.301               79.038              
291        (3 3 2 5 2)     44.389               79.041              
292        (3 5 2 1 2)     43.509               79.113              
293        (3 5 2 0 2)     39.445               78.980              
294        (3 1 1 1 2)     38.583               79.051              
295        (2 3 2 1 2)     38.817               79.054              
296        (3 5 2 3 2)     39.566               78.990              
297        (3 5 2 1 2)     38.552               79.060              
298        (3 3 2 1 2)     42.864               78.997              
299        (4 3 2 1 2)     42.228               79.067              
300        (3 6 2 1 2)     38.586               79.003              
301        (3 5 1 1 2)     38.285               79.073              
302        (2 3 2 1 2)     38.563               79.076              
303        (3 3 2 0 2)     41.133               79.079              
304        (3 3 2 1 2)     38.224               79.082              
305        (2 3 2 1 2)     38.596               79.085              
306        (3 1 1 3 2)     44.471               79.088              
307        (3 1 2 1 2)     43.694               78.961              
308        (3 4 2 0 2)     44.216               78.900              
309        (3 5 1 1 2)     43.427               78.903              
310        (3 3 2 1 2)     44.167               78.971              
311        (3 5 2 1 2)     46.920               79.038              
312        (4 1 2 1 2)     46.069               79.105              
313        (3 1 2 1 2)     41.941               79.172              
314        (3 1 1 0 2)     36.985               79.111              
315        (0 3 2 1 2)     41.296               79.177              
316        (3 5 1 1 2)     38.513               79.243              
317        (3 3 2 1 2)     40.899               79.308              
318        (2 3 2 1 2)     44.431               79.310              
319        (3 5 2 1 2)     43.898               79.375              
320        (3 3 2 1 2)     43.551               79.439              
321        (3 1 1 0 2)     43.612               79.379              
322        (3 5 2 1 2)     45.486               79.381              
323        (3 5 2 1 2)     42.096               79.444              
324        (3 1 2 1 2)     42.432               79.446              
325        (2 5 1 5 2)     44.245               79.387              
326        (2 5 2 5 1)     58.013               79.327              
327        (3 5 1 1 2)     48.264               79.329              
328        (3 5 2 0 2)     42.126               79.331              
329        (2 5 1 3 1)     44.907               79.333              
330        (3 3 2 1 2)     42.656               79.335              
331        (3 1 2 5 2)     44.256               79.277              
332        (3 7 2 1 2)     45.937               79.219              
333        (3 3 2 1 2)     40.065               79.281              
334        (3 3 2 0 2)     45.628               79.284              
335        (3 1 1 0 2)     44.061               79.226              
336        (2 1 1 3 2)     43.078               79.169              
337        (3 5 1 5 2)     41.702               79.053              
338        (3 5 2 1 2)     39.467               79.115              
339        (3 1 2 1 2)     44.952               79.059              
340        (3 3 2 0 2)     41.245               79.062              
341        (3 5 1 1 2)     40.608               79.064              
342        (3 5 1 1 2)     43.413               79.067              
343        (6 5 1 1 2)     38.224               79.128              
344        (3 1 1 1 2)     38.635               79.188              
345        (3 6 2 1 2)     44.766               79.133              
346        (2 1 1 1 2)     42.873               79.193              
347        (3 5 1 1 2)     41.221               79.195              
348        (3 3 2 1 2)     44.838               79.198              
349        (3 6 1 1 2)     43.253               79.257              
350        (3 3 2 1 2)     39.205               79.316              
351        (3 5 2 1 2)     41.407               79.375              
352        (3 3 2 1 2)     43.814               79.377              
353        (3 3 2 1 2)     40.916               79.435              
354        (3 5 2 5 2)     44.450               79.437              
355        (3 3 2 0 2)     38.234               79.438              
356        (3 1 1 1 2)     38.521               79.440              
357        (3 6 2 1 2)     43.578               79.385              
358        (3 6 2 1 2)     44.439               79.443              
359        (0 6 2 5 2)     42.605               79.333              
360        (3 5 1 0 2)     40.311               79.335              
361        (2 3 2 1 2)     41.929               79.337              
362        (0 5 1 1 1)     41.917               79.394              
363        (3 1 2 1 2)     44.572               79.451              
364        (3 1 2 1 2)     38.607               79.397              
365        (3 1 2 1 2)     41.643               79.399              
366        (4 3 2 5 2)     38.797               79.401              
367        (2 1 2 1 2)     44.919               79.293              
368        (2 5 2 5 2)     44.182               79.241              
369        (3 5 2 1 2)     44.214               79.297              
370        (3 3 2 0 2)     44.245               79.299              
371        (3 3 2 1 2)     43.323               79.355              
372        (3 5 1 1 2)     44.807               79.410              
373        (0 5 2 5 2)     44.511               79.412              
374        (3 5 1 1 2)     45.308               79.413              
375        (3 1 2 1 2)     43.750               79.415              
376        (3 5 2 4 2)     45.626               79.416              
377        (3 5 2 1 2)     42.359               79.471              
378        (3 3 2 1 2)     38.846               79.525              
379        (3 3 2 1 2)     44.541               79.526              
380        (3 3 2 0 2)     45.433               79.528              
381        (3 3 2 1 2)     50.328               79.529              
382        (3 5 1 5 2)     40.282               79.530              
383        (2 5 1 2 2)     43.549               79.427              
384        (3 7 2 1 2)     43.744               79.429              
385        (3 5 2 1 1)     44.102               79.482              
386        (3 5 2 1 2)     43.109               79.483              
387        (3 1 1 1 2)     43.170               79.536              
388        (3 5 1 1 2)     43.936               79.589              
389        (3 3 2 0 2)     44.163               79.590              
390        (2 5 2 5 2)     42.227               79.437              
391        (2 5 1 1 2)     45.895               79.439              
392        (3 3 2 1 2)     45.710               79.491              
393        (3 3 2 5 2)     44.622               79.492              
394        (6 3 2 5 2)     43.170               79.443              
395        (3 5 1 1 2)     41.112               79.495              
396        (3 5 1 1 2)     40.681               79.547              
397        (3 5 2 5 2)     44.623               79.497              
398        (3 5 2 5 2)     42.750               79.499              
399        (3 5 1 5 2)     41.437               79.450              
400        (3 5 2 1 2)     63.844               79.501              
401        (3 5 2 1 2)     49.885               79.502              
402        (2 5 2 1 2)     39.736               79.454              
403        (3 3 2 1 2)     38.619               79.505              
404        (3 3 2 1 2)     38.470               79.556              
405        (3 3 2 1 2)     44.870               79.507              
406        (3 5 1 5 1)     45.954               79.410              
407        (3 3 2 1 2)     44.241               79.412              
408        (3 1 2 5 1)     38.395               79.413              
409        (4 1 2 1 2)     38.494               79.366              
410        (0 3 2 1 2)     44.583               79.367              
411        (2 3 2 1 2)     43.242               79.369              
412        (3 5 1 1 2)     42.903               79.419              
413        (3 1 1 1 2)     44.440               79.420              
414        (3 6 2 1 2)     44.727               79.422              
415        (3 3 2 1 2)     40.373               79.471              
416        (3 3 2 1 2)     43.917               79.472              
417        (6 6 2 1 1)     44.152               79.426              
418        (3 3 2 1 2)     42.315               79.475              
419        (3 3 2 1 2)     43.094               79.524              
420        (3 1 2 1 2)     38.555               79.525              
421        (3 5 2 1 2)     42.318               79.526              
422        (3 1 2 1 2)     43.169               79.527              
423        (3 5 2 5 2)     45.290               79.528              
424        (3 6 2 1 2)     38.366               79.576              
425        (3 3 2 5 2)     41.346               79.531              
426        (3 5 1 1 2)     44.357               79.485              
427        (3 5 1 1 2)     43.312               79.486              
428        (3 4 2 3 2)     38.254               79.441              
429        (2 3 2 1 2)     38.205               79.442              
430        (3 3 2 1 2)     44.787               79.443              
431        (3 3 2 1 2)     43.567               79.444              
432        (3 5 2 1 2)     44.724               79.492              
433        (3 1 2 1 2)     41.346               79.493              
434        (3 1 2 5 2)     42.074               79.402              
435        (3 5 1 1 2)     42.093               79.404              
436        (3 5 1 1 2)     45.678               79.451              
437        (3 1 2 1 2)     40.516               79.452              
438        (0 6 1 1 2)     44.867               79.453              
439        (3 3 2 1 2)     45.606               79.500              
440        (0 1 1 1 2)     39.537               79.456              
441        (2 5 0 0 2)     45.881               79.367              
442        (3 1 1 1 2)     40.129               79.368              
443        (3 1 2 1 2)     41.694               79.369              
444        (2 5 1 5 2)     38.417               79.326              
445        (3 3 2 1 2)     43.055               79.372              
446        (3 1 2 5 2)     44.580               79.284              
447        (3 1 2 5 2)     38.324               79.241              
448        (3 5 2 0 1)     44.632               79.243              
449        (3 3 2 1 2)     44.726               79.289              
450        (3 3 2 5 2)     44.326               79.246              
451        (3 1 1 1 2)     44.356               79.292              
452        (3 5 1 0 2)     44.715               79.294              
453        (3 3 2 1 2)     43.662               79.339              
454        (3 3 2 1 2)     38.602               79.385              
455        (2 5 1 3 2)     45.964               79.298              
456        (3 5 2 5 2)     42.392               79.256              
457        (2 5 1 0 2)     43.854               79.214              
458        (3 5 2 1 2)     41.326               79.172              
459        (3 5 1 1 2)     42.881               79.174              
460        (3 3 2 0 2)     38.513               79.176              
461        (3 1 1 1 2)     42.416               79.221              
462        (3 5 1 1 2)     44.763               79.222              
463        (3 5 1 1 2)     42.428               79.224              
464        (2 5 2 5 1)     40.609               79.140              
465        (2 1 1 3 2)     42.752               79.056              
466        (3 3 2 1 2)     38.272               79.101              
467        (2 3 2 1 2)     38.317               79.103              
468        (2 1 2 1 2)     44.868               79.062              
469        (2 5 1 0 2)     45.132               79.021              
470        (3 1 1 1 2)     44.478               79.023              
471        (3 3 2 1 2)     49.550               79.068              
472        (2 3 2 1 2)     42.886               79.027              
473        (3 5 2 0 1)     41.110               79.030              
474        (2 1 1 0 1)     38.491               78.947              
475        (3 1 1 1 2)     46.026               78.992              
476        (3 3 2 1 2)     41.357               78.994              
477        (3 5 1 1 2)     42.063               78.996              
478        (2 1 1 1 2)     44.449               78.998              
479        (3 5 2 1 2)     45.524               79.000              
480        (3 3 2 3 2)     43.748               79.002              
481        (3 5 2 1 2)     44.334               79.046              
482        (3 1 1 0 2)     44.120               79.006              
483        (3 1 2 1 2)     38.346               79.008              
484        (2 5 1 1 2)     44.426               79.010              
485        (2 1 2 1 2)     42.349               79.012              
486        (3 1 1 1 2)     39.380               79.014              
487        (3 3 2 1 2)     38.295               79.057              
488        (3 5 1 1 1)     43.424               79.059              
489        (2 5 1 1 2)     44.407               79.061              
490        (3 5 1 1 2)     44.634               79.104              
491        (2 3 2 1 2)     41.397               79.106              
492        (3 5 1 1 2)     41.510               79.108              
493        (2 5 1 5 1)     44.622               79.109              
494        (3 1 2 1 2)     41.745               79.111              
495        (3 3 2 1 2)     41.356               79.153              
496        (2 1 1 3 2)     44.178               79.115              
497        (4 4 2 3 2)     53.423               79.076              
498        (3 6 1 0 1)     40.689               79.078              
499        (3 5 1 1 2)     44.204               79.080              
500        (3 1 2 5 2)     42.033               79.082              
501        (0 3 2 5 2)     44.552               79.084              
502        (3 1 2 1 2)     38.451               79.085              
503        (2 1 1 5 1)     38.469               79.008              
504        (3 5 1 1 2)     43.067               79.050              
505        (3 4 2 1 2)     44.479               79.012              
506        (3 3 2 1 2)     44.234               79.053              
507        (3 5 1 1 2)     44.275               79.094              
508        (3 1 2 3 2)     43.949               79.096              
509        (3 3 2 1 2)     45.885               79.137              
510        (2 1 2 1 2)     44.716               79.100              
511        (3 3 2 0 2)     45.002               79.023              
512        (5 3 2 1 2)     41.143               79.025              
513        (3 1 1 1 2)     43.251               79.027              
514        (2 3 2 1 2)     44.725               79.029              
515        (3 1 1 1 2)     38.459               79.031              
516        (3 3 2 5 2)     42.361               79.033              
517        (3 1 2 1 2)     44.481               78.996              
518        (0 5 1 0 1)     44.745               78.960              
519        (3 3 2 1 2)     43.885               79.000              
520        (2 5 1 5 2)     43.118               78.964              
521        (3 5 2 1 1)     41.609               79.004              
522        (3 3 2 1 2)     41.927               79.044              
523        (3 1 1 1 2)     38.367               79.046              
524        (3 1 2 1 2)     43.795               79.048              
525        (3 5 1 1 2)     43.907               79.087              
526        (3 5 1 1 2)     38.694               79.089              
527        (3 3 2 1 2)     45.186               79.129              
528        (3 3 2 1 2)     39.923               79.168              
529        (3 5 2 5 2)     38.736               79.170              
530        (3 5 1 0 2)     38.582               79.171              
531        (2 5 1 1 2)     44.644               79.135              
532        (3 6 1 1 2)     43.537               79.174              
533        (2 5 1 1 2)     44.594               79.139              
534        (3 5 2 5 2)     41.736               79.103              
535        (3 5 1 1 2)     41.591               79.104              
536        (2 3 2 1 2)     42.186               79.106              
537        (3 1 1 1 2)     44.142               79.145              
538        (2 5 1 5 2)     43.036               79.072              
539        (2 1 1 1 1)     42.300               79.037              
540        (2 5 1 1 2)     39.146               79.039              
541        (3 3 2 0 2)     45.852               79.004              
542        (2 5 2 1 1)     40.824               78.969              
543        (3 1 1 5 1)     41.418               78.934              
544        (2 3 2 1 2)     42.185               78.936              
545        (3 5 1 0 2)     44.858               78.901              
546        (3 1 2 1 2)     43.927               78.940              
547        (3 1 2 1 2)     42.769               78.942              
548        (3 3 2 0 2)     45.904               78.907              
549        (3 5 2 1 2)     42.781               78.945              
550        (0 6 2 1 2)     40.837               78.947              
551        (2 5 1 1 2)     44.192               78.913              
552        (3 3 2 1 2)     44.683               78.951              
553        (2 1 1 1 2)     42.638               78.953              
554        (3 5 1 1 2)     41.223               78.919              
555        (3 3 2 0 2)     43.845               78.921              
556        (3 5 2 1 2)     44.808               78.959              
557        (3 1 2 5 2)     43.773               78.925              
558        (3 3 2 5 2)     45.237               78.927              
559        (2 1 1 0 2)     43.293               78.857              
560        (2 1 1 5 2)     41.264               78.788              
561        (4 5 1 5 1)     44.654               78.790              
562        (2 1 1 0 2)     41.767               78.757              
563        (2 5 1 1 2)     39.774               78.794              
564        (2 5 1 1 2)     38.213               78.761              
565        (3 5 1 1 2)     38.450               78.763              
566        (4 3 2 1 2)     40.507               78.801              
567        (3 5 2 1 2)     41.294               78.838              
568        (3 1 2 1 2)     41.930               78.840              
569        (5 1 2 1 2)     39.687               78.842              
570        (6 3 2 5 1)     40.456               78.809              
571        (3 1 1 1 2)     38.920               78.811              
572        (3 1 1 1 2)     45.011               78.813              
573        (3 3 2 1 2)     41.418               78.815              
574        (3 5 1 1 2)     43.344               78.852              
575        (3 6 2 0 2)     41.346               78.819              
576        (3 1 1 0 2)     38.213               78.787              
577        (3 5 2 0 2)     38.744               78.720              
578        (3 3 2 1 2)     39.411               78.756              
579        (4 3 2 5 2)     45.576               78.759              
580        (3 5 2 1 2)     44.368               78.795              
581        (3 5 2 1 2)     44.767               78.797              
582        (2 5 1 1 2)     40.241               78.799              
583        (3 1 2 5 2)     42.268               78.767              
584        (3 5 1 1 2)     42.502               78.803              
585        (3 1 1 5 2)     42.955               78.805              
586        (3 5 1 5 1)     45.966               78.773              
587        (3 5 2 0 2)     42.259               78.707              
588        (6 5 2 0 1)     44.571               78.642              
589        (3 1 1 0 2)     48.833               78.610              
590        (3 3 2 0 2)     41.814               78.545              
591        (3 3 2 3 2)     44.397               78.514              
592        (3 5 2 1 2)     44.612               78.482              
593        (2 1 1 5 2)     38.981               78.451              
594        (3 3 2 1 2)     44.274               78.487              
595        (2 1 1 0 2)     38.562               78.456              
596        (3 1 2 1 1)     38.296               78.425              
597        (2 1 2 3 2)     40.998               78.395              
598        (3 3 2 0 2)     43.631               78.397              
599        (2 5 2 1 2)     38.193               78.433              
600        (3 3 2 1 2)     42.124               78.469              
601        (3 5 2 3 2)     44.337               78.472              
602        (3 1 1 1 2)     41.909               78.441              
