Predictions: (Task 2, Task 6, Task 10, Task 12, Task 13)

No         Predictions     Hop latency [us]     Accuracy [%]        
97         (0 1 1 2 1)     12.335               76.531              
98         (3 5 2 1 2)     13.399               76.768              
99         (5 3 2 1 2)     7.226                77.000              
100        (5 3 2 5 2)     13.216               76.634              
101        (3 3 2 1 2)     7.225                76.863              
102        (5 3 2 1 1)     13.134               76.699              
103        (3 3 2 1 2)     7.256                76.731              
104        (5 3 1 2 1)     18.671               76.190              
105        (0 5 1 3 1)     8.833                76.038              
106        (5 3 2 1 2)     7.204                76.075              
107        (3 7 2 1 2)     12.733               76.111              
108        (3 3 2 1 2)     7.194                76.330              
109        (3 5 2 1 1)     12.932               76.545              
110        (3 4 2 3 1)     13.595               76.396              
111        (3 3 2 1 2)     7.195                76.607              
112        (5 1 1 2 1)     12.798               76.106              
113        (4 3 2 1 2)     7.235                76.140              
114        (2 4 0 2 3)     12.376               75.478              
115        (0 3 0 4 0)     7.206                75.172              
116        (3 5 2 1 2)     12.869               75.385              
117        (3 5 2 1 2)     7.655                75.424              
118        (5 3 2 1 1)     12.262               75.294              
119        (3 5 2 1 2)     7.214                75.167              
120        (3 3 2 1 2)     12.889               75.372              
121        (3 5 1 1 2)     7.235                75.574              
122        (3 3 2 1 2)     12.867               75.772              
123        (3 5 2 1 2)     7.236                75.806              
124        (4 1 1 2 1)     12.307               75.520              
125        (5 3 2 1 2)     7.336                75.556              
126        (5 1 2 1 2)     10.131               75.433              
127        (0 0 0 2 3)     7.431                74.844              
128        (4 5 0 2 1)     12.472               74.574              
129        (3 1 2 5 2)     7.256                74.462              
130        (5 1 2 1 2)     13.004               74.504              
131        (3 6 1 1 2)     13.226               74.697              
132        (3 3 2 1 2)     10.297               74.887              
133        (3 1 2 1 2)     11.486               75.075              
134        (3 1 2 1 2)     7.205                74.963              
135        (3 5 1 1 1)     12.335               75.147              
136        (5 5 0 1 1)     13.584               75.036              
137        (3 3 1 1 1)     13.176               75.217              
138        (3 3 2 1 2)     7.235                75.396              
139        (3 1 2 2 3)     13.045               75.286              
140        (2 3 2 1 2)     7.257                75.461              
141        (3 5 1 1 1)     12.983               75.493              
142        (4 3 2 1 2)     7.266                75.524              
143        (3 5 2 1 2)     12.184               75.694              
144        (3 3 2 1 2)     7.265                75.862              
145        (3 3 2 1 2)     9.488                76.027              
146        (4 1 2 1 2)     7.351                75.918              
147        (3 3 2 1 2)     13.620               75.946              
148        (3 3 2 1 2)     7.235                76.107              
149        (5 3 2 2 1)     12.574               75.867              
150        (3 1 0 5 0)     13.318               75.629              
151        (6 3 2 1 2)     7.247                75.658              
152        (3 3 2 1 2)     12.490               75.817              
153        (3 5 2 1 2)     13.504               75.974              
154        (3 3 2 1 2)     7.226                76.129              
155        (3 3 2 1 2)     10.177               76.282              
156        (3 7 1 1 2)     7.513                76.178              
157        (5 5 2 1 1)     13.410               76.203              
158        (3 3 2 1 2)     7.287                76.352              
159        (3 3 2 1 2)     13.964               76.500              
160        (5 3 2 1 2)     7.976                76.646              
161        (3 1 2 1 2)     7.892                76.667              
162        (3 1 2 1 2)     12.327               76.564              
163        (3 3 2 1 2)     13.708               76.707              
164        (2 5 1 1 2)     7.666                76.727              
165        (0 5 1 1 1)     12.857               76.627              
166        (3 3 2 1 2)     7.258                76.647              
167        (3 5 2 1 2)     12.963               76.786              
168        (3 5 2 1 2)     7.216                76.686              
169        (3 1 2 1 2)     13.206               76.706              
170        (3 3 2 1 2)     7.217                76.842              
171        (5 1 2 1 2)     12.612               76.860              
172        (3 3 2 1 2)     7.215                76.994              
173        (7 4 0 5 3)     13.627               76.552              
174        (3 5 2 1 2)     7.226                76.686              
175        (3 3 2 1 2)     9.511                76.818              
176        (2 4 0 3 3)     7.461                76.497              
177        (0 5 1 2 1)     12.574               76.517              
178        (3 1 1 1 2)     7.298                76.536              
179        (3 3 2 1 2)     12.329               76.667              
180        (0 5 1 3 1)     7.229                76.575              
181        (5 3 2 1 2)     12.633               76.703              
182        (3 1 1 1 2)     13.488               76.612              
183        (3 5 2 1 1)     10.583               76.739              
184        (3 1 1 1 2)     10.165               76.865              
185        (3 1 2 1 2)     11.731               76.989              
186        (5 3 2 1 2)     13.862               77.005              
187        (3 1 2 1 2)     7.594                77.021              
188        (3 1 1 1 2)     12.653               77.143              
189        (3 1 1 1 2)     7.226                77.053              
190        (3 3 2 1 2)     12.707               77.173              
191        (3 5 2 1 2)     8.014                77.188              
192        (3 5 2 1 2)     13.348               77.202              
193        (5 3 2 1 1)     7.227                77.216              
194        (4 3 2 1 1)     8.354                77.333              
195        (0 1 1 1 2)     7.369                77.245              
196        (0 5 1 2 1)     13.483               77.259              
197        (5 5 0 5 3)     13.513               76.970              
198        (2 3 2 1 2)     12.571               77.085              
199        (3 3 2 1 2)     13.185               77.200              
200        (3 5 2 1 1)     7.225                77.214              
201        (5 3 2 1 1)     12.951               77.228              
202        (5 3 2 1 2)     7.194                77.241              
203        (3 5 1 1 2)     12.161               77.353              
204        (3 5 2 1 2)     10.869               77.463              
205        (5 3 2 1 2)     7.203                77.573              
206        (3 3 2 1 2)     12.776               77.681              
207        (3 5 1 1 2)     7.210                77.788              
208        (3 3 2 1 2)     13.538               77.799              
209        (3 1 2 1 2)     7.212                77.714              
210        (5 1 2 1 2)     13.000               77.725              
211        (0 4 0 0 0)     7.242                77.453              
212        (3 3 2 1 2)     12.438               77.559              
213        (3 1 2 1 2)     13.365               77.570              
214        (3 1 2 1 2)     7.245                77.488              
215        (0 1 1 1 2)     10.165               77.500              
216        (3 3 2 1 2)     7.471                77.604              
217        (3 5 2 1 2)     12.999               77.615              
218        (3 1 0 5 2)     7.213                77.534              
219        (3 6 2 1 2)     13.045               77.545              
220        (4 5 2 1 2)     7.428                77.376              
221        (3 3 2 1 2)     10.000               77.477              
222        (3 5 2 1 2)     9.456                77.399              
223        (3 1 1 2 1)     13.614               77.321              
224        (3 5 2 1 2)     13.256               77.422              
225        (3 3 2 1 2)     7.211                77.522              
226        (5 3 2 1 1)     12.204               77.621              
227        (3 3 2 5 2)     7.244                77.632              
228        (3 3 2 1 2)     12.312               77.729              
229        (5 3 2 1 2)     7.228                77.826              
230        (3 1 2 1 2)     11.881               77.835              
231        (3 3 2 1 2)     7.596                77.931              
232        (3 1 2 1 2)     12.928               77.940              
233        (4 1 2 1 2)     7.198                77.949              
234        (0 5 1 3 1)     13.744               77.872              
235        (3 1 2 1 2)     7.226                77.881              
236        (3 1 1 1 2)     13.864               77.890              
237        (5 3 1 2 1)     13.258               77.731              
238        (0 4 1 3 1)     7.257                77.490              
239        (0 3 1 2 1)     12.437               77.417              
240        (7 5 1 3 1)     7.256                77.344              
241        (3 3 2 1 2)     13.046               77.438              
242        (3 5 1 1 2)     7.247                77.449              
243        (3 5 2 1 2)     12.591               77.541              
244        (3 1 1 1 2)     7.390                77.633              
245        (3 5 2 1 2)     10.370               77.642              
246        (3 5 2 1 2)     7.492                77.733              
247        (0 4 0 5 3)     12.406               77.500              
248        (4 4 0 0 0)     7.221                77.189              
249        (3 1 2 1 2)     12.361               77.200              
250        (2 1 1 1 2)     7.244                77.211              
251        (3 5 1 3 1)     12.346               77.143              
252        (5 3 2 1 2)     13.871               77.233              
253        (3 3 2 1 2)     13.179               77.323              
254        (5 3 2 1 2)     7.222                77.333              
255        (3 3 2 1 2)     13.592               77.422              
256        (3 6 1 1 1)     12.593               77.432              
257        (3 3 2 1 2)     13.359               77.519              
258        (3 3 2 1 2)     7.193                77.606              
259        (3 7 1 1 2)     12.376               77.538              
260        (5 1 2 1 2)     7.239                77.548              
261        (3 3 2 1 2)     12.421               77.634              
262        (6 3 1 1 2)     7.278                77.643              
263        (5 1 2 1 2)     10.227               77.576              
264        (0 5 1 3 1)     7.380                77.585              
265        (3 5 2 1 2)     12.898               77.669              
266        (3 1 1 1 2)     7.298                77.678              
267        (5 3 2 1 2)     13.381               77.687              
268        (0 5 1 3 1)     7.277                77.621              
269        (3 3 2 1 2)     13.925               77.704              
270        (0 1 1 1 2)     13.288               77.712              
271        (3 1 2 1 2)     7.215                77.721              
272        (3 1 2 1 2)     12.520               77.729              
273        (2 0 0 5 0)     7.252                77.445              
274        (3 1 2 1 2)     13.107               77.455              
275        (5 3 2 1 2)     13.360               77.464              
276        (7 5 1 3 1)     7.213                77.401              
277        (3 5 2 1 2)     12.378               77.482              
278        (3 3 2 1 2)     7.186                77.491              
279        (2 3 2 1 2)     12.535               77.571              
280        (3 1 2 1 1)     7.251                77.580              
281        (3 5 1 1 1)     12.552               77.589              
282        (5 5 2 1 2)     7.224                77.668              
283        (0 5 1 2 1)     12.229               77.606              
284        (3 3 2 1 2)     7.254                77.614              
285        (3 5 2 1 2)     13.726               77.692              
286        (3 1 2 1 2)     7.224                77.700              
287        (5 1 2 5 1)     10.062               77.569              
288        (3 3 2 1 2)     13.293               77.647              
289        (3 3 2 1 2)     7.266                77.655              
290        (3 5 2 1 2)     13.861               77.732              
291        (3 1 2 1 2)     7.203                77.740              
292        (3 1 2 1 2)     12.331               77.747              
293        (3 1 2 1 2)     7.286                77.755              
294        (3 1 2 1 2)     12.262               77.763              
295        (3 3 2 1 2)     7.203                77.838              
296        (3 5 1 1 1)     12.921               77.845              
297        (3 5 2 1 2)     13.697               77.919              
298        (5 1 2 1 2)     7.224                77.993              
299        (4 3 2 0 2)     12.255               78.000              
300        (0 4 0 0 3)     7.722                77.807              
301        (3 5 2 1 2)     10.173               77.815              
302        (6 3 2 1 2)     10.088               77.756              
303        (3 3 2 1 2)     13.290               77.829              
304        (4 3 0 5 2)     7.205                77.705              
305        (4 3 2 1 2)     9.005                77.712              
306        (5 1 2 1 2)     7.249                77.655              
307        (0 3 2 5 3)     12.840               77.468              
308        (3 3 2 1 2)     12.188               77.540              
309        (3 1 1 5 2)     13.318               77.548              
310        (3 3 2 1 2)     7.216                77.621              
311        (3 5 2 1 2)     7.910                77.692              
312        (4 1 1 1 1)     12.708               77.636              
313        (3 1 2 1 2)     7.263                77.707              
314        (3 3 0 4 3)     12.468               77.587              
315        (4 4 0 0 0)     11.884               77.342              
316        (3 1 1 1 2)     13.640               77.350              
317        (3 3 2 1 2)     7.224                77.421              
318        (6 3 2 1 2)     12.497               77.492              
319        (3 5 2 1 2)     13.658               77.562              
320        (3 3 2 1 2)     7.542                77.632              
321        (5 1 1 1 2)     10.143               77.578              
322        (3 1 1 1 2)     13.635               77.585              
323        (3 5 2 1 2)     7.287                77.654              
324        (3 3 2 1 2)     12.508               77.723              
325        (5 1 1 0 2)     7.244                77.607              
326        (5 5 2 1 1)     12.420               77.676              
327        (0 5 0 0 0)     7.242                77.561              
328        (3 5 2 1 2)     13.553               77.629              
329        (7 4 0 3 0)     13.122               77.394              
330        (5 3 2 1 2)     13.377               77.402              
331        (3 7 2 1 2)     13.245               77.410              
332        (5 3 2 1 2)     13.419               77.477              
333        (5 1 2 2 2)     7.235                77.365              
334        (3 3 2 1 2)     12.226               77.433              
335        (5 1 2 1 2)     7.202                77.440              
336        (3 1 2 1 2)     12.121               77.448              
337        (1 0 0 3 3)     7.233                77.278              
338        (3 7 2 1 2)     12.299               77.286              
339        (5 3 2 1 2)     7.224                77.353              
340        (3 1 2 1 2)     12.410               77.361              
341        (3 6 0 2 3)     7.214                77.251              
342        (3 5 1 1 1)     8.279                77.318              
343        (3 5 2 1 2)     7.356                77.267              
344        (3 1 2 1 2)     12.553               77.275              
345        (6 3 2 5 2)     7.940                77.225              
346        (0 1 1 1 2)     7.604                77.233              
347        (3 5 1 2 3)     12.415               77.126              
348        (3 1 2 1 2)     7.222                77.077              
349        (3 7 2 1 2)     12.098               77.029              
350        (3 1 2 1 2)     10.143               77.037              
351        (3 1 2 1 2)     7.255                77.045              
352        (0 1 2 1 1)     12.285               76.941              
353        (3 3 2 1 2)     7.256                77.006              
354        (3 5 2 1 2)     12.159               77.070              
355        (3 3 2 1 2)     7.204                77.135              
356        (3 1 1 1 2)     12.056               77.143              
357        (5 2 2 2 3)     10.032               76.983              
358        (3 7 2 1 2)     7.212                76.992              
359        (5 3 2 5 3)     13.303               76.889              
360        (3 5 2 1 2)     7.336                76.898              
361        (3 1 2 1 2)     12.273               76.906              
362        (0 4 1 2 1)     7.214                76.860              
363        (3 1 1 1 2)     8.350                76.868              
364        (3 5 2 1 2)     7.182                76.877              
365        (3 1 2 1 2)     7.944                76.885              
366        (5 3 2 1 2)     7.539                76.894              
367        (3 3 2 1 2)     12.316               76.902              
368        (0 2 0 5 3)     7.222                76.748              
369        (3 5 1 1 2)     12.685               76.757              
370        (3 3 2 1 2)     7.261                76.819              
371        (3 3 2 1 2)     12.350               76.882              
372        (3 5 1 1 2)     7.533                76.944              
373        (0 4 0 0 0)     10.115               76.791              
374        (3 6 1 1 1)     10.116               76.747              
375        (3 3 2 1 2)     7.237                76.809              
376        (3 5 2 1 2)     12.934               76.870              
377        (3 5 2 1 2)     7.330                76.931              
378        (3 1 2 1 2)     12.766               76.939              
379        (5 3 2 1 2)     7.985                77.000              
380        (3 3 2 1 2)     7.576                77.060              
381        (3 3 2 1 2)     13.259               77.068              
382        (3 5 2 1 2)     7.227                77.076              
383        (3 1 2 1 2)     12.585               77.083              
384        (3 7 2 1 2)     7.226                77.091              
385        (3 7 2 3 1)     11.798               77.047              
386        (3 5 2 1 2)     9.459                77.054              
387        (3 1 2 5 2)     7.237                77.010              
388        (3 1 1 1 2)     13.290               77.018              
389        (3 3 2 1 2)     7.268                77.077              
390        (3 7 2 1 2)     12.073               77.084              
391        (3 5 1 1 2)     10.175               77.143              
392        (3 3 2 1 2)     7.298                77.201              
393        (3 3 2 1 2)     12.931               77.259              
394        (4 3 2 1 2)     7.251                77.316              
395        (3 1 1 1 2)     12.142               77.323              
396        (3 1 2 1 2)     10.134               77.280              
397        (3 1 1 1 2)     10.092               77.286              
398        (7 0 0 5 3)     13.319               77.093              
399        (3 5 1 1 1)     7.276                77.150              
400        (3 5 2 1 2)     12.693               77.207              
401        (3 7 2 1 2)     13.401               77.214              
402        (0 4 1 0 2)     13.381               77.171              
403        (3 3 2 1 2)     13.104               77.228              
404        (3 3 2 1 2)     10.136               77.284              
405        (0 7 1 1 1)     7.289                77.241              
406        (3 5 2 1 1)     12.409               77.150              
407        (3 3 2 1 2)     7.280                77.157              
408        (3 1 2 1 1)     12.312               77.213              
409        (4 1 0 2 3)     7.257                77.073              
410        (5 3 2 1 2)     12.712               77.129              
411        (4 3 2 1 2)     13.350               77.136              
412        (7 5 0 3 3)     7.228                76.998              
413        (3 3 1 1 2)     12.429               77.053              
414        (3 3 2 1 2)     13.382               77.108              
415        (3 3 2 1 2)     13.545               77.163              
416        (3 1 2 1 2)     7.227                77.218              
417        (4 3 0 1 1)     12.943               77.177              
418        (3 3 2 1 2)     12.992               77.232              
419        (3 3 2 1 2)     7.246                77.286              
420        (3 3 2 1 2)     12.409               77.340              
421        (3 5 1 3 1)     7.320                77.299              
422        (3 3 2 1 2)     12.234               77.352              
423        (3 1 2 1 2)     7.237                77.358              
424        (3 7 2 1 2)     12.869               77.365              
425        (5 3 2 1 2)     7.226                77.418              
426        (0 7 1 1 1)     13.712               77.377              
427        (0 5 1 1 1)     7.269                77.383              
428        (3 3 2 1 2)     10.831               77.436              
429        (6 3 2 1 2)     7.248                77.395              
430        (5 3 2 1 2)     7.896                77.448              
431        (5 3 2 1 2)     7.575                77.500              
432        (3 5 2 1 2)     13.882               77.552              
433        (3 3 2 1 2)     13.002               77.604              
434        (3 7 2 1 2)     7.250                77.609              
435        (3 1 0 5 2)     8.080                77.569              
436        (3 5 2 1 2)     7.995                77.574              
437        (3 3 2 1 2)     7.585                77.626              
438        (4 1 1 1 1)     12.624               77.585              
439        (3 3 2 1 2)     14.811               77.636              
440        (5 1 1 1 2)     7.492                77.642              
441        (0 2 0 5 3)     10.096               77.511              
442        (3 1 1 1 2)     7.248                77.517              
443        (3 3 2 1 2)     12.247               77.568              
444        (3 1 1 1 2)     13.323               77.573              
445        (3 3 2 1 2)     13.320               77.623              
446        (5 1 2 1 1)     13.586               77.584              
447        (3 3 2 1 2)     7.216                77.634              
448        (0 4 1 3 1)     9.487                77.506              
449        (3 3 2 1 2)     7.247                77.556              
450        (5 3 2 1 2)     10.104               77.517              
451        (3 1 2 1 2)     10.146               77.522              
452        (3 5 1 1 2)     7.267                77.572              
453        (3 3 2 1 2)     12.309               77.621              
454        (3 3 2 1 2)     7.208                77.670              
455        (0 4 1 1 2)     12.049               77.675              
456        (3 1 1 1 2)     10.115               77.681              
457        (3 5 2 1 2)     7.379                77.686              
458        (3 5 2 1 2)     13.627               77.647              
459        (3 5 2 3 1)     7.248                77.609              
460        (3 3 2 1 2)     12.285               77.657              
461        (3 1 2 1 2)     7.206                77.662              
462        (3 1 1 1 2)     12.613               77.711              
463        (0 5 1 3 1)     7.964                77.672              
464        (0 4 1 3 1)     7.585                77.591              
465        (0 1 1 0 1)     12.345               77.511              
466        (3 1 2 1 2)     7.728                77.516              
467        (3 3 2 1 2)     12.367               77.564              
468        (3 3 2 1 2)     7.251                77.612              
469        (3 5 2 1 2)     13.661               77.617              
470        (5 1 2 1 2)     7.289                77.580              
471        (3 1 2 1 2)     13.207               77.585              
472        (4 3 2 1 1)     7.237                77.590              
473        (3 1 1 1 1)     12.715               77.553              
474        (0 6 1 0 0)     7.290                77.474              
475        (3 1 1 1 2)     10.153               77.521              
476        (3 3 2 1 2)     7.236                77.526              
477        (0 5 1 3 1)     12.584               77.490              
478        (2 3 1 1 2)     7.245                77.537              
479        (3 1 2 1 2)     12.462               77.583              
480        (3 3 2 1 2)     7.236                77.630              
481        (3 1 2 1 2)     13.031               77.635              
482        (5 1 1 1 2)     7.280                77.681              
483        (3 1 2 1 2)     12.146               77.686              
484        (0 1 1 1 2)     7.219                77.691              
485        (3 3 2 1 2)     12.051               77.695              
486        (0 3 1 1 1)     7.217                77.659              
487        (3 1 2 1 2)     12.911               77.664              
488        (0 7 1 1 1)     7.232                77.628              
489        (3 5 1 1 2)     12.206               77.673              
490        (3 1 2 1 2)     10.168               77.637              
491        (5 3 2 1 2)     7.219                77.642              
492        (3 6 1 1 2)     11.058               77.688              
493        (6 5 1 3 1)     7.651                77.652              
494        (3 3 2 1 2)     8.252                77.697              
495        (3 3 2 1 2)     10.074               77.742              
496        (3 1 1 1 2)     7.329                77.787              
497        (4 1 0 2 0)     12.266               77.671              
498        (5 5 1 1 1)     7.279                77.595              
499        (3 1 1 1 2)     12.593               77.640              
500        (3 1 2 1 2)     7.268                77.685              
501        (0 2 0 0 0)     10.106               77.570              
502        (3 1 2 1 2)     13.259               77.575              
503        (0 3 1 1 1)     7.229                77.540              
504        (0 5 1 1 2)     8.950                77.545              
505        (3 5 2 1 2)     7.208                77.549              
506        (3 3 2 1 2)     7.955                77.594              
507        (3 5 2 1 2)     7.595                77.598              
508        (3 1 1 5 2)     12.471               77.564              
509        (3 1 2 1 2)     7.199                77.569              
510        (5 3 2 1 2)     13.709               77.573              
511        (5 3 2 1 2)     13.597               77.578              
512        (4 3 2 1 1)     7.226                77.583              
513        (3 3 2 1 2)     12.904               77.588              
514        (4 3 2 1 2)     13.492               77.592              
515        (0 7 2 1 2)     7.227                77.558              
516        (3 3 2 1 2)     12.868               77.602              
517        (5 3 2 1 2)     7.217                77.645              
518        (0 6 1 2 1)     13.761               77.649              
519        (3 1 2 1 2)     7.228                77.654              
520        (3 5 1 3 3)     13.004               77.620              
521        (7 4 0 3 0)     7.206                77.471              
522        (3 3 2 1 2)     12.761               77.514              
523        (3 3 2 5 2)     7.249                77.443              
524        (3 3 2 1 2)     12.297               77.486              
525        (3 5 2 1 2)     7.339                77.490              
526        (3 1 1 1 2)     10.136               77.533              
527        (3 3 2 1 2)     7.228                77.576              
528        (3 3 2 1 2)     12.337               77.618              
529        (2 4 2 1 2)     7.250                77.585              
530        (3 5 2 1 2)     12.911               77.589              
531        (5 1 2 1 2)     7.330                77.556              
532        (3 1 1 1 2)     13.382               77.561              
533        (4 3 2 1 2)     7.195                77.528              
534        (3 5 2 3 1)     13.136               77.533              
535        (3 1 2 1 2)     7.206                77.500              
536        (4 3 2 1 2)     12.661               77.505              
537        (3 1 2 1 2)     12.337               77.509              
538        (0 1 0 0 0)     7.278                77.440              
539        (0 7 0 1 1)     12.134               77.407              
540        (3 5 1 1 2)     7.319                77.449              
541        (5 3 2 1 2)     13.730               77.491              
542        (0 5 1 3 1)     13.415               77.459              
543        (5 3 2 1 1)     7.279                77.426              
544        (4 3 2 1 2)     12.902               77.431              
545        (3 7 2 4 2)     7.254                77.363              
546        (3 1 2 1 2)     13.563               77.404              
547        (3 3 2 1 2)     7.308                77.445              
548        (3 1 2 1 2)     8.734                77.413              
549        (3 5 1 1 2)     7.297                77.418              
550        (7 4 0 0 0)     12.780               77.278              
551        (0 4 0 0 0)     13.964               77.174              
552        (3 3 2 1 2)     7.963                77.215              
553        (5 1 2 1 2)     7.646                77.184              
554        (0 6 1 2 1)     12.276               77.117              
555        (3 3 2 1 2)     7.226                77.158              
556        (3 7 2 1 2)     8.455                77.163              
557        (3 3 2 1 2)     7.289                77.204              
558        (3 3 2 1 2)     12.631               77.245              
559        (3 7 2 1 2)     7.227                77.214              
560        (3 7 1 1 2)     12.898               77.219              
561        (5 5 2 1 1)     7.379                77.189              
562        (0 1 1 1 2)     13.259               77.158              
563        (2 5 1 1 2)     7.289                77.199              
564        (6 1 1 1 2)     12.615               77.204              
565        (3 1 2 1 2)     7.238                77.173              
566        (4 3 2 0 2)     9.439                77.178              
567        (3 5 2 1 2)     7.350                77.218              
568        (3 7 2 1 2)     12.419               77.223              
569        (5 3 2 1 2)     7.975                77.228              
570        (5 3 2 1 1)     13.508               77.268              
571        (3 1 1 1 2)     13.411               77.273              
572        (5 1 0 2 2)     7.279                77.208              
573        (3 5 2 1 2)     9.214                77.247              
574        (3 5 2 1 2)     16.089               77.252              
575        (3 1 2 1 2)     7.226                77.257              
576        (3 1 1 1 2)     12.327               77.262              
577        (5 7 2 1 2)     7.256                77.301              
578        (3 3 2 1 2)     12.276               77.340              
579        (5 3 2 1 2)     7.227                77.310              
580        (3 7 2 1 2)     12.442               77.315              
581        (0 5 1 3 1)     7.276                77.251              
582        (3 1 0 2 2)     12.470               77.187              
583        (3 3 2 1 2)     7.225                77.226              
584        (3 5 2 1 2)     12.828               77.231              
585        (3 1 2 1 2)     7.288                77.235              
586        (5 1 1 1 1)     12.849               77.240              
587        (5 1 1 2 3)     13.351               77.143              
588        (4 1 0 4 3)     7.235                77.080              
589        (3 1 1 1 2)     12.331               77.085              
590        (5 3 2 1 1)     7.258                77.090              
591        (4 3 2 1 2)     12.419               77.095              
592        (3 5 1 2 1)     13.300               77.099              
593        (5 1 2 1 2)     7.463                77.104              
594        (3 3 2 1 2)     10.198               77.143              
595        (6 1 1 1 2)     10.094               77.114              
596        (5 1 1 2 1)     7.268                77.119              
597        (5 1 2 1 2)     12.625               77.157              
598        (3 3 2 1 2)     13.456               77.195              
599        (4 5 2 4 2)     7.261                77.167              
600        (3 1 2 1 2)     12.418               77.171              
601        (2 4 0 5 0)     7.287                77.043              
602        (5 1 1 1 2)     10.071               76.982              
