Predictions: (Task 2, Task 6, Task 10, Task 12, Task 13)

No         Predictions     Hop latency [us]     Accuracy [%]        
63         (3 5 2 1 2)     9.099                82.188              
64         (3 1 2 1 2)     9.170                82.154              
65         (4 3 0 0 2)     9.098                81.818              
66         (3 1 1 1 1)     9.105                81.791              
67         (6 1 1 1 2)     9.168                81.765              
68         (3 5 1 1 1)     9.159                81.449              
69         (3 3 2 1 2)     9.148                81.714              
70         (6 5 0 5 3)     15.017               81.127              
71         (1 2 0 0 1)     9.180                80.000              
72         (3 5 2 1 1)     9.180                80.000              
73         (3 1 1 1 2)     9.191                79.730              
74         (3 3 2 1 2)     9.241                80.000              
75         (3 3 2 1 2)     9.108                80.263              
76         (2 3 2 1 2)     9.098                80.260              
77         (3 1 2 1 2)     9.180                80.513              
78         (3 1 1 1 2)     9.190                80.759              
79         (0 5 0 0 3)     9.104                80.250              
80         (3 3 2 1 2)     9.169                80.247              
81         (3 3 2 1 2)     9.170                80.244              
82         (5 3 2 1 1)     9.343                80.241              
83         (3 3 2 1 2)     9.139                80.476              
84         (2 5 1 1 1)     15.784               80.235              
85         (3 1 2 1 2)     9.928                80.233              
86         (3 3 2 1 2)     12.436               80.460              
87         (6 3 1 1 1)     9.149                80.455              
88         (3 7 1 1 1)     9.097                80.674              
89         (0 5 1 0 1)     9.128                80.444              
90         (2 5 1 1 1)     15.896               80.220              
91         (3 1 2 1 2)     10.050               80.217              
92         (3 5 2 1 2)     10.111               80.430              
93         (3 3 2 1 2)     9.252                80.638              
94         (3 5 2 1 2)     9.210                80.842              
95         (0 6 0 0 1)     9.168                80.417              
96         (2 3 2 0 2)     10.020               80.412              
97         (0 1 1 0 1)     9.241                80.000              
98         (3 5 2 1 2)     9.159                80.202              
99         (3 3 2 1 1)     9.159                80.000              
100        (2 3 2 1 1)     12.005               79.802              
101        (3 3 2 1 2)     9.158                80.000              
102        (6 3 2 1 1)     9.957                79.806              
103        (3 3 2 1 2)     12.488               79.808              
104        (2 6 2 2 3)     9.076                79.238              
105        (2 5 1 0 1)     10.009               79.057              
106        (3 3 2 1 2)     9.119                79.252              
107        (3 3 2 1 1)     9.179                79.074              
108        (3 1 2 1 2)     9.179                79.083              
109        (3 1 2 1 1)     9.097                79.091              
110        (3 5 2 1 1)     9.158                79.279              
111        (3 3 2 1 1)     9.159                79.286              
112        (2 5 2 5 1)     9.087                79.115              
113        (2 3 2 1 2)     9.180                79.123              
114        (2 5 1 5 1)     9.118                78.783              
115        (0 3 2 5 1)     9.178                78.621              
116        (3 5 2 1 2)     15.181               78.803              
117        (3 5 1 1 2)     9.106                78.983              
118        (3 3 2 1 1)     9.076                78.824              
119        (3 5 1 1 2)     10.031               78.833              
120        (3 3 2 1 2)     9.189                79.008              
121        (3 5 1 1 2)     9.097                79.180              
122        (3 3 2 1 2)     9.200                79.350              
123        (3 5 1 1 2)     9.077                79.516              
124        (6 1 2 0 3)     15.232               79.200              
125        (4 3 0 0 1)     11.730               78.730              
126        (5 1 1 1 2)     9.160                78.740              
127        (3 5 2 1 1)     15.478               78.438              
128        (2 5 2 1 1)     9.098                78.450              
129        (3 1 1 1 2)     9.190                78.615              
130        (3 1 2 1 2)     9.159                78.779              
131        (3 5 1 1 1)     9.138                78.636              
132        (3 3 2 1 2)     9.104                78.797              
133        (3 1 2 1 2)     15.397               78.955              
134        (5 1 2 1 1)     9.169                78.667              
135        (3 5 1 1 1)     9.160                78.824              
136        (3 5 2 1 1)     9.128                78.978              
137        (3 3 1 1 1)     9.109                79.130              
138        (3 3 2 1 2)     9.169                79.281              
139        (3 1 2 1 2)     10.081               79.429              
140        (3 3 2 1 2)     15.857               79.433              
141        (3 5 2 1 1)     9.855                79.577              
142        (4 3 2 1 2)     12.436               79.580              
143        (3 1 2 1 2)     11.789               79.583              
144        (3 3 2 1 2)     9.119                79.724              
145        (3 3 2 1 2)     9.158                79.863              
146        (1 1 1 0 3)     9.170                79.592              
147        (2 3 2 1 2)     9.129                79.730              
148        (3 3 2 1 2)     9.876                79.866              
149        (3 6 0 0 0)     12.876               79.333              
150        (1 0 1 0 3)     12.479               78.940              
151        (2 3 2 1 2)     9.109                79.079              
152        (3 3 2 1 2)     15.149               79.216              
153        (3 1 2 1 2)     9.098                79.221              
154        (3 3 2 1 2)     10.102               79.355              
155        (3 3 2 1 2)     9.251                79.487              
156        (3 3 2 1 2)     9.497                79.490              
157        (6 1 2 1 1)     9.231                79.494              
158        (3 3 2 1 2)     9.160                79.623              
159        (3 3 2 1 2)     9.149                79.750              
160        (5 3 2 1 2)     9.169                79.876              
161        (3 3 2 1 2)     9.160                80.000              
162        (3 5 2 1 1)     9.099                80.123              
163        (3 3 2 1 2)     9.978                80.244              
164        (2 5 2 5 1)     12.272               80.121              
165        (3 5 1 1 1)     9.159                80.120              
166        (3 1 1 1 2)     9.189                80.120              
167        (3 5 2 1 2)     9.108                80.238              
168        (3 5 1 1 1)     9.117                80.118              
169        (3 3 2 1 2)     15.255               80.235              
170        (3 3 2 1 2)     9.122                80.351              
171        (6 1 0 0 1)     9.113                80.116              
172        (3 3 2 1 2)     9.195                80.231              
173        (3 5 0 0 0)     9.073                80.000              
174        (3 1 2 1 2)     15.095               80.000              
175        (3 3 2 1 2)     9.175                80.114              
176        (2 5 1 0 3)     9.196                80.000              
177        (1 1 1 0 1)     15.134               79.775              
178        (3 5 1 1 1)     9.247                79.777              
179        (3 3 2 1 2)     9.114                79.889              
180        (2 5 1 0 1)     9.165                79.779              
181        (5 3 2 1 1)     9.133                79.780              
182        (3 1 2 1 2)     9.093                79.781              
183        (3 5 2 1 1)     9.093                79.891              
184        (3 1 1 1 1)     10.107               79.892              
185        (3 1 2 1 2)     12.381               80.000              
186        (3 3 2 0 0)     9.113                79.893              
187        (3 1 1 1 2)     9.216                80.000              
188        (0 1 1 0 2)     9.206                79.894              
189        (3 1 2 1 2)     15.647               79.895              
190        (3 3 2 1 2)     15.237               80.000              
191        (3 5 2 1 2)     9.093                80.000              
192        (3 5 2 1 2)     9.163                80.000              
193        (3 1 2 1 1)     9.124                80.000              
194        (4 3 2 1 1)     9.093                80.103              
195        (5 6 1 2 1)     9.073                79.796              
196        (1 1 1 0 1)     9.124                79.594              
197        (3 1 2 1 2)     9.144                79.495              
198        (2 1 1 1 1)     9.175                79.296              
199        (3 3 2 1 2)     9.206                79.400              
200        (3 5 2 1 1)     9.103                79.403              
201        (3 3 2 1 1)     9.164                79.505              
202        (5 3 2 1 1)     21.699               79.507              
203        (3 5 1 1 1)     9.995                79.510              
204        (3 5 2 1 2)     9.195                79.610              
205        (5 3 2 1 1)     9.082                79.612              
206        (3 3 2 1 2)     10.035               79.710              
207        (3 5 0 1 0)     9.257                79.615              
208        (3 1 2 1 2)     9.217                79.713              
209        (3 3 2 1 2)     9.124                79.714              
210        (7 2 1 0 3)     9.155                79.431              
211        (0 2 1 0 3)     9.124                79.245              
212        (3 3 2 1 2)     15.596               79.343              
213        (3 3 2 1 2)     9.165                79.439              
214        (3 1 1 1 2)     9.145                79.442              
215        (3 1 1 1 2)     9.083                79.537              
216        (3 3 2 1 2)     9.113                79.631              
217        (3 1 2 1 2)     9.124                79.541              
218        (3 1 1 1 2)     9.175                79.635              
219        (3 7 1 1 1)     9.175                79.545              
220        (5 5 1 1 1)     9.964                79.457              
221        (3 3 2 1 2)     12.524               79.550              
222        (3 5 1 1 2)     9.113                79.552              
223        (0 1 1 1 2)     9.185                79.554              
224        (3 1 1 1 2)     9.216                79.467              
225        (3 3 2 1 2)     15.298               79.558              
226        (5 3 2 1 1)     15.299               79.648              
227        (3 3 2 1 2)     9.164                79.737              
228        (3 1 2 1 2)     15.555               79.738              
229        (5 3 2 1 2)     15.289               79.826              
230        (3 1 1 1 2)     9.985                79.913              
231        (3 3 2 5 0)     15.462               79.828              
232        (3 3 2 1 2)     15.227               79.914              
233        (6 6 0 5 3)     9.166                79.573              
234        (2 5 1 0 1)     9.093                79.489              
235        (3 1 1 1 2)     9.656                79.407              
236        (3 3 1 1 2)     11.817               79.494              
237        (3 7 1 1 1)     9.175                79.580              
238        (3 5 2 1 1)     9.165                79.665              
239        (0 6 0 5 1)     10.055               79.500              
240        (2 5 1 0 1)     9.217                79.419              
241        (3 3 2 1 2)     9.164                79.504              
242        (3 5 2 1 2)     9.165                79.588              
243        (3 1 2 1 2)     9.134                79.590              
244        (3 1 1 1 2)     9.185                79.673              
245        (3 1 1 1 2)     10.087               79.675              
246        (3 1 2 1 2)     9.206                79.676              
247        (0 1 1 0 1)     9.964                79.597              
248        (4 2 0 0 3)     9.216                79.277              
249        (3 3 2 1 2)     9.117                79.360              
250        (2 5 1 1 1)     9.094                79.363              
251        (3 5 2 1 1)     9.114                79.444              
252        (5 3 2 1 1)     9.145                79.447              
253        (3 3 2 1 2)     15.657               79.528              
254        (3 3 2 1 2)     9.104                79.608              
255        (2 3 0 1 1)     10.957               79.453              
256        (3 5 1 1 1)     15.842               79.455              
257        (3 3 2 1 1)     12.502               79.457              
258        (3 3 2 1 2)     10.035               79.537              
259        (3 1 1 1 2)     9.247                79.462              
260        (0 1 1 0 2)     9.185                79.387              
261        (3 3 2 1 2)     9.103                79.466              
262        (3 1 1 1 2)     9.194                79.316              
263        (6 1 0 1 1)     15.441               79.167              
264        (4 2 1 0 1)     9.155                79.019              
265        (3 5 2 1 2)     9.123                79.098              
266        (1 1 0 0 1)     9.154                78.876              
267        (0 3 2 1 2)     9.083                78.881              
268        (2 5 1 0 1)     9.103                78.810              
269        (3 3 2 1 2)     9.154                78.889              
270        (3 1 1 1 0)     9.237                78.893              
271        (3 1 1 1 2)     9.114                78.971              
272        (3 3 2 1 2)     9.155                79.048              
273        (2 3 0 0 0)     9.113                78.832              
274        (3 1 2 1 2)     9.165                78.836              
275        (5 3 2 1 1)     9.194                78.841              
276        (3 5 0 5 1)     9.094                78.773              
277        (3 1 2 1 2)     9.165                78.777              
278        (3 3 2 1 2)     9.185                78.781              
279        (3 3 2 1 2)     9.166                78.786              
280        (3 1 2 1 1)     9.145                78.790              
281        (3 5 2 1 1)     9.072                78.865              
282        (3 5 0 1 2)     15.697               78.799              
283        (0 5 1 0 1)     9.144                78.732              
284        (3 3 2 1 1)     9.145                78.667              
285        (3 1 2 1 2)     9.175                78.671              
286        (3 1 2 1 2)     9.206                78.676              
287        (3 3 2 5 1)     9.094                78.681              
288        (3 3 2 1 2)     9.186                78.754              
289        (2 3 2 1 2)     9.093                78.828              
290        (3 1 2 1 2)     15.575               78.832              
291        (3 3 2 1 2)     9.103                78.904              
292        (3 5 2 1 2)     9.226                78.976              
293        (3 1 1 1 2)     9.922                79.048              
294        (3 1 1 1 2)     12.287               79.119              
295        (3 3 2 1 2)     9.113                79.189              
296        (3 5 2 1 1)     9.104                79.259              
297        (3 5 1 1 2)     9.114                79.262              
298        (5 1 1 1 2)     9.165                79.264              
299        (4 6 2 5 0)     10.035               79.133              
300        (4 3 2 0 1)     12.575               79.003              
301        (3 0 1 0 3)     9.114                78.874              
302        (3 3 2 1 2)     15.719               78.812              
303        (3 3 2 1 1)     9.165                78.816              
304        (4 3 2 2 1)     9.164                78.689              
305        (3 3 2 1 2)     9.113                78.693              
306        (3 1 1 1 2)     15.441               78.762              
307        (3 3 1 1 2)     9.083                78.766              
308        (2 3 2 5 1)     9.830                78.641              
309        (3 1 1 1 2)     12.391               78.710              
310        (3 3 2 1 2)     9.155                78.778              
311        (3 1 2 1 2)     9.195                78.782              
312        (4 6 0 0 1)     9.174                78.594              
313        (3 1 2 1 2)     9.087                78.662              
314        (3 0 0 5 0)     9.121                78.476              
315        (0 3 0 5 0)     9.091                78.354              
316        (3 5 1 5 3)     10.166               78.297              
317        (3 3 2 1 2)     10.032               78.365              
318        (2 3 2 1 2)     12.377               78.370              
319        (3 5 2 1 2)     9.213                78.438              
320        (3 3 2 1 2)     9.091                78.505              
321        (3 3 1 1 2)     10.051               78.571              
322        (3 1 2 1 2)     9.172                78.638              
323        (3 5 2 1 2)     9.204                78.704              
324        (3 3 2 1 2)     9.213                78.769              
325        (0 2 0 0 3)     10.062               78.589              
326        (6 1 1 1 1)     9.151                78.471              
327        (0 2 1 0 1)     15.532               78.354              
328        (3 5 2 1 2)     15.031               78.419              
329        (2 0 1 0 1)     9.172                78.364              
330        (4 6 2 5 3)     9.213                78.187              
331        (3 3 2 1 2)     9.112                78.253              
332        (5 3 2 1 2)     9.100                78.318              
333        (3 3 2 0 0)     10.073               78.263              
334        (3 3 2 1 2)     15.337               78.328              
335        (6 1 1 0 1)     9.111                78.214              
336        (3 1 1 1 2)     15.429               78.279              
337        (1 0 1 0 1)     9.143                78.166              
338        (3 1 2 1 2)     9.192                78.171              
339        (5 3 2 1 2)     9.100                78.235              
340        (3 3 2 1 2)     9.194                78.299              
341        (3 1 1 1 2)     9.172                78.304              
342        (3 5 1 1 1)     9.080                78.367              
343        (3 5 1 1 1)     9.981                78.314              
344        (3 1 1 1 2)     9.254                78.377              
345        (3 3 0 1 2)     9.173                78.324              
346        (2 1 1 1 2)     9.111                78.386              
347        (3 5 1 0 3)     9.173                78.276              
348        (3 3 2 1 2)     9.172                78.281              
349        (3 1 1 1 2)     9.183                78.286              
350        (3 1 2 1 1)     9.110                78.234              
351        (3 5 1 1 2)     10.022               78.239              
352        (3 3 2 1 1)     12.449               78.244              
353        (3 3 2 1 2)     10.125               78.305              
354        (3 1 2 1 2)     9.264                78.310              
355        (3 3 2 1 2)     9.203                78.371              
356        (3 3 1 1 2)     15.235               78.431              
357        (4 3 2 1 2)     15.348               78.436              
358        (3 5 2 1 2)     9.110                78.440              
359        (4 6 2 5 1)     9.110                78.333              
360        (3 5 1 1 1)     9.121                78.338              
361        (3 3 2 1 2)     9.100                78.398              
362        (0 2 1 0 1)     9.111                78.347              
363        (3 1 2 1 3)     9.133                78.352              
364        (3 1 2 1 1)     9.183                78.356              
365        (3 1 2 1 2)     9.132                78.361              
366        (4 3 2 1 1)     9.111                78.365              
367        (3 3 2 1 2)     9.131                78.370              
368        (1 2 0 0 1)     9.111                78.157              
369        (3 5 2 1 2)     15.398               78.216              
370        (3 3 2 1 2)     9.213                78.275              
371        (3 3 2 1 2)     9.172                78.333              
372        (3 1 1 1 2)     15.542               78.338              
373        (0 5 0 0 3)     9.192                78.235              
374        (3 1 1 1 2)     9.121                78.240              
375        (3 3 2 1 2)     9.653                78.298              
376        (3 5 2 1 2)     11.744               78.355              
377        (3 5 0 0 2)     9.705                78.307              
378        (3 3 2 1 2)     9.194                78.364              
379        (5 3 2 1 1)     9.172                78.368              
380        (3 3 2 1 2)     9.233                78.425              
381        (3 3 2 1 2)     9.859                78.429              
382        (7 5 1 5 3)     11.763               78.329              
383        (0 1 1 1 1)     9.162                78.281              
384        (3 3 2 1 2)     9.837                78.338              
385        (3 5 2 1 1)     15.603               78.394              
386        (3 5 1 1 2)     15.123               78.450              
387        (3 1 1 1 2)     9.192                78.505              
388        (3 5 1 1 1)     9.121                78.509              
389        (3 3 2 1 2)     9.183                78.564              
390        (3 1 1 1 2)     9.193                78.568              
391        (3 5 1 1 1)     9.173                78.571              
392        (3 3 2 1 2)     15.030               78.626              
393        (3 3 2 1 2)     9.132                78.680              
394        (4 3 2 1 1)     9.184                78.684              
395        (3 5 1 1 1)     14.979               78.687              
396        (3 1 1 1 2)     10.196               78.690              
397        (3 1 0 1 2)     12.378               78.693              
398        (3 2 0 0 0)     9.125                78.546              
399        (2 5 1 0 1)     9.111                78.500              
400        (3 5 2 1 2)     9.099                78.554              
401        (3 3 2 1 2)     9.234                78.557              
402        (0 2 1 0 3)     9.121                78.462              
403        (3 3 2 1 2)     9.248                78.515              
404        (3 1 2 1 2)     9.238                78.519              
405        (3 5 2 1 1)     9.141                78.522              
406        (2 7 1 1 1)     9.244                78.526              
407        (3 3 2 1 1)     9.131                78.480              
408        (3 1 2 1 1)     9.215                78.533              
409        (4 3 0 0 0)     9.193                78.439              
410        (5 3 2 1 1)     9.100                78.443              
411        (4 3 2 1 1)     9.245                78.398              
412        (3 5 1 0 0)     12.443               78.354              
413        (3 3 1 1 2)     9.171                78.406              
414        (3 1 1 1 2)     9.108                78.361              
415        (3 3 2 1 2)     9.109                78.413              
416        (3 1 2 1 2)     9.177                78.465              
417        (5 3 2 5 1)     9.271                78.469              
418        (3 3 2 1 1)     9.131                78.473              
419        (3 3 2 1 2)     9.172                78.524              
420        (3 3 2 1 2)     9.100                78.575              
421        (3 5 2 1 1)     9.112                78.626              
422        (3 3 2 1 2)     9.141                78.676              
423        (3 5 2 1 2)     9.111                78.726              
424        (3 1 2 1 2)     9.173                78.729              
425        (5 3 2 1 1)     9.172                78.732              
426        (3 5 1 1 1)     9.150                78.735              
427        (3 1 1 1 1)     9.194                78.738              
428        (3 3 2 1 1)     9.172                78.741              
429        (3 3 2 1 2)     9.141                78.698              
430        (5 3 2 1 2)     9.182                78.747              
431        (5 3 2 1 1)     9.152                78.750              
432        (3 5 2 1 2)     9.161                78.799              
433        (3 3 2 1 2)     9.182                78.848              
434        (3 5 1 1 2)     9.182                78.851              
435        (3 1 1 1 1)     9.173                78.853              
436        (3 5 1 1 2)     9.183                78.902              
437        (3 3 2 1 2)     9.182                78.950              
438        (4 7 1 3 3)     15.542               78.861              
439        (3 3 2 1 2)     14.180               78.909              
440        (5 1 1 2 1)     9.683                78.821              
441        (0 2 1 0 0)     9.172                78.733              
442        (3 1 1 1 2)     9.161                78.736              
443        (3 3 2 1 2)     9.171                78.784              
444        (3 5 1 1 1)     9.101                78.787              
445        (3 3 2 1 2)     9.162                78.834              
446        (3 3 2 5 1)     9.111                78.837              
447        (3 3 2 1 2)     9.151                78.884              
448        (3 5 2 1 1)     9.172                78.931              
449        (3 3 2 1 2)     14.722               78.978              
450        (3 3 2 1 2)     9.091                78.936              
451        (3 1 1 1 2)     9.212                78.982              
452        (3 0 0 5 0)     9.159                78.852              
453        (3 3 2 1 2)     10.850               78.899              
454        (3 3 2 1 2)     12.428               78.945              
455        (0 2 1 0 0)     15.514               78.860              
456        (3 1 2 0 2)     9.187                78.862              
457        (3 5 1 1 2)     9.132                78.908              
458        (3 3 2 1 1)     9.145                78.911              
459        (3 5 1 1 1)     9.160                78.957              
460        (3 3 2 1 2)     9.198                79.002              
461        (3 1 1 1 2)     9.157                79.048              
462        (3 1 1 1 1)     13.481               79.050              
463        (2 5 1 0 1)     18.961               79.009              
464        (4 3 0 5 1)     25.125               78.882              
465        (0 1 1 0 1)     31.527               78.798              
466        (3 1 2 1 2)     38.759               78.801              
467        (3 3 2 1 2)     9.169                78.846              
468        (3 3 2 1 2)     9.083                78.891              
469        (3 1 1 1 1)     9.185                78.851              
470        (1 1 1 2 1)     9.166                78.811              
471        (3 3 2 1 0)     9.186                78.814              
472        (2 6 2 0 1)     9.154                78.732              
473        (3 5 1 1 1)     9.142                78.734              
474        (0 5 1 0 1)     9.160                78.695              
475        (3 1 1 1 2)     9.134                78.739              
476        (3 3 2 1 2)     10.063               78.742              
477        (2 5 1 0 1)     12.317               78.703              
478        (2 3 1 1 2)     9.101                78.747              
479        (3 1 1 1 2)     9.132                78.750              
480        (3 3 2 1 2)     9.111                78.794              
481        (3 5 2 1 2)     15.677               78.838              
482        (6 1 1 1 1)     9.090                78.799              
483        (3 3 2 1 2)     9.163                78.843              
484        (2 1 1 1 2)     9.111                78.887              
485        (2 3 2 1 2)     9.164                78.930              
486        (3 1 1 1 2)     9.110                78.932              
487        (3 3 2 1 1)     9.164                78.934              
488        (3 5 1 1 1)     9.103                78.937              
489        (3 5 1 1 1)     9.184                78.939              
490        (3 5 1 1 2)     9.108                78.982              
491        (0 3 2 1 2)     15.029               78.984              
492        (3 1 1 1 2)     9.963                78.986              
493        (2 1 1 0 1)     12.439               78.947              
494        (3 3 2 1 2)     9.092                78.990              
495        (3 3 2 1 2)     9.153                79.032              
496        (3 1 1 1 2)     15.132               79.074              
497        (4 0 0 0 0)     9.113                78.956              
498        (3 1 1 1 1)     9.114                78.918              
499        (3 1 1 1 2)     9.194                78.960              
500        (3 1 2 1 2)     15.234               79.002              
501        (2 3 0 0 0)     14.960               78.884              
502        (3 1 1 1 2)     9.327                78.926              
503        (2 1 1 1 1)     9.206                78.889              
504        (3 1 1 1 1)     9.133                78.851              
505        (3 5 2 1 1)     10.157               78.854              
506        (3 3 2 1 2)     9.163                78.895              
507        (3 5 1 1 1)     10.024               78.898              
508        (3 1 0 0 1)     9.194                78.821              
509        (3 3 2 1 2)     9.133                78.863              
510        (2 3 2 1 0)     9.184                78.826              
511        (5 3 2 1 1)     9.103                78.828              
512        (4 3 2 0 1)     9.113                78.791              
513        (3 1 1 1 2)     9.173                78.794              
514        (2 3 2 1 2)     9.102                78.796              
515        (3 1 1 1 2)     16.178               78.798              
516        (3 3 2 1 2)     15.931               78.839              
517        (3 3 2 1 1)     14.542               78.803              
518        (0 5 1 0 1)     9.195                78.767              
519        (3 3 2 1 2)     15.625               78.808              
520        (3 5 0 0 1)     9.113                78.733              
521        (1 5 0 5 1)     9.204                78.659              
522        (3 3 2 1 2)     9.091                78.700              
523        (3 1 1 1 2)     9.112                78.702              
524        (3 3 2 1 2)     13.413               78.743              
525        (3 5 1 1 2)     15.356               78.783              
526        (3 1 1 1 1)     9.153                78.786              
527        (3 3 2 1 2)     9.122                78.826              
528        (3 3 2 1 2)     15.736               78.866              
529        (3 5 2 1 0)     9.133                78.868              
530        (3 5 1 1 1)     9.170                78.870              
531        (6 1 1 1 1)     9.141                78.872              
532        (3 5 1 1 1)     9.164                78.837              
533        (6 3 1 1 2)     9.142                78.876              
534        (3 5 2 1 1)     9.122                78.916              
535        (3 1 1 1 2)     9.101                78.918              
536        (2 3 2 1 2)     9.163                78.920              
537        (3 1 1 1 2)     9.153                78.959              
538        (0 2 1 0 3)     9.317                78.887              
539        (3 5 1 1 1)     9.192                78.889              
540        (3 5 1 0 1)     9.899                78.854              
541        (3 3 2 1 2)     12.409               78.856              
542        (2 5 1 0 1)     9.173                78.821              
543        (3 1 1 1 1)     9.991                78.824              
544        (4 3 2 1 1)     9.245                78.789              
545        (3 5 1 1 2)     9.111                78.791              
546        (3 1 2 1 2)     9.204                78.830              
547        (3 3 2 1 2)     9.153                78.869              
548        (3 3 2 5 1)     9.100                78.834              
549        (3 1 2 1 2)     9.142                78.836              
550        (0 2 0 4 3)     9.142                78.730              
551        (0 5 1 0 3)     9.122                78.696              
552        (3 3 2 1 2)     10.032               78.734              
553        (6 1 1 1 2)     15.553               78.773              
554        (3 5 1 1 1)     9.122                78.775              
555        (3 3 2 1 2)     9.173                78.813              
556        (3 5 2 1 2)     9.102                78.851              
557        (3 3 2 1 2)     9.993                78.889              
558        (3 3 2 1 0)     9.173                78.891              
559        (3 1 1 1 2)     9.122                78.893              
560        (3 1 1 1 2)     10.095               78.895              
561        (6 1 1 0 1)     12.286               78.826              
562        (0 1 1 1 2)     9.164                78.792              
563        (2 5 1 1 1)     13.987               78.794              
564        (3 3 1 1 2)     16.231               78.761              
565        (3 5 1 1 2)     15.717               78.763              
566        (4 6 2 5 3)     15.584               78.695              
567        (3 5 2 1 2)     9.152                78.732              
568        (3 3 2 1 0)     15.860               78.735              
569        (5 3 2 1 2)     15.430               78.737              
570        (4 3 2 1 1)     9.154                78.739              
571        (3 1 1 1 2)     14.988               78.741              
572        (3 1 1 1 2)     16.075               78.743              
573        (3 1 1 1 1)     15.686               78.676              
574        (3 1 1 1 2)     9.112                78.678              
575        (3 3 2 1 0)     9.971                78.681              
576        (3 3 1 1 2)     15.954               78.718              
577        (3 3 2 1 2)     10.053               78.685              
578        (3 3 2 1 2)     16.063               78.722              
579        (4 3 2 1 2)     10.145               78.724              
580        (3 5 1 1 1)     15.900               78.692              
581        (2 2 2 0 1)     16.268               78.625              
582        (3 5 1 1 0)     16.104               78.628              
583        (3 3 2 1 2)     15.961               78.664              
584        (3 5 1 1 2)     10.042               78.701              
585        (3 1 1 1 2)     16.063               78.737              
586        (6 1 1 1 1)     9.171                78.739              
587        (1 1 0 0 3)     9.121                78.673              
588        (4 1 0 0 1)     9.122                78.642              
589        (3 3 1 1 2)     9.180                78.678              
590        (4 3 2 1 1)     9.101                78.646              
591        (3 3 2 1 1)     9.110                78.615              
592        (2 5 1 0 1)     9.183                78.583              
593        (5 1 1 1 1)     9.192                78.586              
594        (3 3 1 1 2)     9.122                78.588              
595        (3 3 1 1 2)     9.192                78.591              
596        (4 0 1 0 1)     9.121                78.526              
597        (5 1 2 1 1)     9.141                78.528              
598        (3 3 2 1 2)     9.141                78.564              
599        (2 1 1 1 2)     9.203                78.533              
600        (3 1 2 1 1)     9.120                78.502              
601        (3 5 0 0 0)     9.109                78.439              
602        (3 1 1 1 2)     9.181                78.408              
